Name,Studio,UPC,Price,Category,ESRB,Platform,Released_on,Dimensions,Weight,Cover_image 
 Fight Night Champion (Xbox 360),Electronic Arts,5030930092641,49.99,Xbox 360,Unknown,Xbox 360,3/4/2011,5.4000 x 0.6000,0.0200 lbs.,https://secure.coverart.bookstores.com/large/249/3-62249.jpg
 Tom Clancy's Splinter Cell Conviction,UBI Soft,0008888565000,1.0,Xbox 360,Mature,Xbox 360,4/13/2010,5.2800 x 0.5500,0.2200 lbs.,https://secure.coverart.bookstores.com/large/486/3-56486.jpg
 The Elder Scrolls III: Morrowind,Bethesda,0093155116702,49.99,Xbox 360,Teen,Xbox 360,1/17/2044,Unknown,0.0500 lbs.,https://secure.coverart.bookstores.com/large/299/3-10299.jpg
" Cabela's Big Game Hunter, 2012 - Xbox 360",Activision Inc.,0047875765665,29.99,Xbox 360,Teen,Xbox 360,9/27/2011,5.3000 x 0.6000,0.1000 lbs.,https://secure.coverart.bookstores.com/large/279/3-65279.jpg
 Star Wars Knights of the Old Republic II: The Sith Lords,"LucasArts, a Lucasfilm Ltd. Company",0023272326753,19.99,Xbox 360,Teen,Xbox,12/6/2004,5.3000 x 0.6000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/024/3-8024.jpg
 Grand Theft Auto: San Andreas,Rockstar Games,0710425298875,19.99,Xbox 360,Mature,Xbox,9/13/2005,5.3000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/153/3-8153.jpg
 UFC Personal Trainer - Xbox 360,THQ,0752919552391,1.0,Xbox 360,Everyone,Xbox 360,6/28/2011,5.3000 x 0.5000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/114/3-57114.jpg
 WWE '12,THQ,0752919553671,59.99,Xbox 360,Teen,Xbox 360,11/22/2011,5.3000 x 0.6000,0.5000 lbs.,https://secure.coverart.bookstores.com/large/522/3-58522.jpg
 Halo 2 - Limited Edition In Metal Box (XBOX),Microsoft,0805529894273,44.99,Xbox 360,Suitable for 18 years and over,Xbox,11/11/2004,5.4300 x 0.6300,0.3400 lbs.,https://secure.coverart.bookstores.com/large/664/3-68664.jpg
 Toy Story 3 The Video Game - Xbox 360,Disney,0712725016456,19.99,Xbox 360,Everyone 10+,Xbox 360,7/23/2013,Unknown,0.2500 lbs.,https://secure.coverart.bookstores.com/large/848/3-8848.jpg
 Beautiful Katamari - Xbox 360,Namco,0722674210072,19.99,Xbox 360,Everyone,Xbox 360,10/15/2007,5.4000 x 0.6000,0.6000 lbs.,https://secure.coverart.bookstores.com/large/523/3-8523.jpg
 Transformers: War for Cybertron - Xbox 360,Activision Inc.,2200630003527,29.99,Xbox 360,Teen,Xbox 360,6/22/2010,5.2000 x 0.6000,0.1500 lbs.,https://secure.coverart.bookstores.com/large/400/3-8400.jpg
 Ghostbusters: The Video Game - Xbox 360,Atari Inc.,0742725279100,19.99,Xbox 360,Everyone,Xbox 360,6/16/2009,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/608/3-8608.jpg
 Dance Central,Microsoft,0885370227048,49.99,Xbox 360,Teen,Xbox 360,11/4/2010,5.3000 x 0.6000,0.5000 lbs.,https://secure.coverart.bookstores.com/large/078/3-30078.jpg
 Halo Reach,Microsoft,0885370230659,19.99,Xbox 360,Mature,Xbox 360,9/14/2010,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/239/3-56239.jpg
 Battlefield 2 Modern Combat - Xbox 360,Electronic Arts,0014633151480,19.99,Xbox 360,Teen,Xbox 360,4/11/2006,5.3000 x 0.6000,0.4300 lbs.,https://secure.coverart.bookstores.com/large/424/3-8424.jpg
 Dragon Ball Z: Ultimate Tenkaichi,Namco,0722674210522,29.99,Xbox 360,Teen,Xbox 360,1/13/2041,5.3000 x 0.6000,0.3900 lbs.,https://secure.coverart.bookstores.com/large/567/3-58567.jpg
 Rocksmith,UBI Soft,0008888526889,29.99,Xbox 360,Teen,Xbox 360,10/18/2011,5.5000 x 2.5000,0.3700 lbs.,https://secure.coverart.bookstores.com/large/544/3-58544.jpg
 Viva Piñata: Trouble in Paradise,Microsoft,0400009416404,19.99,Xbox 360,Everyone,Xbox 360,9/2/2008,5.3000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/670/3-8670.jpg
 Need for Speed: Undercover - Xbox 360,Electronic Arts,0014633155914,19.99,Xbox 360,Teen,Xbox 360,11/17/2008,5.3000 x 0.2000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/686/3-8686.jpg
 Grand Theft Auto IV,Take Two Interactive,0710425392320,14.99,Xbox 360,Mature,Xbox 360,4/29/2008,5.3000 x 0.6000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/463/3-56463.jpg
 Kung Fu Panda 2 Kinect - Xbox 360,Microsoft,0752919553060,26.25,Xbox 360,Everyone 10+,Xbox 360,5/24/2011,5.3000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/118/3-58118.jpg
 Cabela's Big Game Hunter - Xbox 360 (Game Only),Activision Publishing,0047875759336,29.99,Xbox 360,Teen,Xbox 360,9/29/2009,5.3000 x 0.6000,0.3500 lbs.,https://secure.coverart.bookstores.com/large/378/3-8378.jpg
 Test Drive Unlimited - Xbox 360,Atari Inc.,0742725266919,19.99,Xbox 360,Everyone 10+,Xbox 360,9/5/2006,5.3000 x 0.5000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/434/3-8434.jpg
 Tetris Evolution - Xbox 360,THQ,0752919550199,19.99,Xbox 360,Everyone,Xbox 360,3/19/2007,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/500/3-8500.jpg
 Dead Space 2,Electronic Arts,0014633158892,15.25,Xbox 360,Mature,Xbox 360,1/25/2011,Unknown,0.3000 lbs.,https://secure.coverart.bookstores.com/large/119/3-30119.jpg
 Fifa 13 /PS3,Unknown,5030930109684,1.0,PlayStation 3,Unknown,PlayStation 3,1/17/2044,Unknown,0.2600 lbs.,https://secure.coverart.bookstores.com/large/105/3-87105.jpg
 Crysis 2 - Limited Edition (PS3) by Electronic Arts,Electronic Arts,5030930096748,24.0,PlayStation 3,Unknown,PlayStation 3,8/18/2042,5.3500 x 0.5500,0.2200 lbs.,https://secure.coverart.bookstores.com/large/439/3-59439.jpg
 Batman: Arkham Asylum - Platinum (PS3) by Square Enix,Square Enix,5021290039841,87.87,PlayStation 3,Unknown,PlayStation 3,8/18/2042,5.3500 x 0.6300,0.2200 lbs.,https://secure.coverart.bookstores.com/large/983/3-58983.jpg
 Battlefield 3 - Limited Edition (PS3) by Electronic Arts,Electronic Arts,5030930103002,50.18,PlayStation 3,Unknown,PlayStation 3,8/18/2042,Unknown,0.2200 lbs.,https://secure.coverart.bookstores.com/large/033/3-59033.jpg
 Saints Row: The Third - Limited Edition (PS3) by THQ,THQ,4005209154499,36.0,PlayStation 3,Unknown,PlayStation 3,8/18/2042,Unknown,0.2600 lbs.,https://secure.coverart.bookstores.com/large/041/3-59041.jpg
 Resident Evil 6 Sony Playstation 3 PS3 Game UK PAL,Unknown,5055060927984,39.99,PlayStation 3,Mature,PlayStation 3,1/17/2044,Unknown,0.1800 lbs.,https://secure.coverart.bookstores.com/large/961/3-86961.jpg
 Def Jam Fight for NY,Electronic Arts,0014633147544,19.79,PlayStation 3,Mature,PlayStation2,5/30/2008,5.3000 x 0.6000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/066/3-4066.jpg
 Call of Duty: Modern Warfare 2 - Playstation 3,Activision Inc.,0047875837478,29.99,PlayStation 3,Mature,PlayStation 3,11/10/2009,5.3000 x 0.6000,0.4100 lbs.,https://secure.coverart.bookstores.com/large/274/3-5274.jpg
 Tomb Raider Trilogy,Square Enix,0662248910376,29.99,PlayStation 3,Teen,PlayStation 3,3/22/2011,5.4000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/735/3-56735.jpg
 Grand Theft Auto IV & Episodes from Liberty City: The Complete Edition,Take 2,0710425378720,29.99,PlayStation 3,Mature,PlayStation 3,10/26/2010,Unknown,0.4600 lbs.,https://secure.coverart.bookstores.com/large/648/3-30648.jpg
 Top Spin 4,2K Games,0710425379390,59.99,PlayStation 3,Everyone,PlayStation 3,3/15/2011,Unknown,0.4500 lbs.,https://secure.coverart.bookstores.com/large/863/3-49863.jpg
 The Getaway: Black Monday Platinum (PS2),Sony,0711719674559,14.99,PlayStation 3,Unknown,PlayStation2,6/10/2005,5.2800 x 0.5500,0.2200 lbs.,https://secure.coverart.bookstores.com/large/898/3-139898.jpg
 Killzone 3 - Playstation 3,Sony Computer Entertainment,0711719823421,19.99,PlayStation 3,Mature,PlayStation 3,2/22/2011,Unknown,0.2500 lbs.,https://secure.coverart.bookstores.com/large/822/3-45822.jpg
 The ICO and Shadow of the Colossus Collection,Sony Computer Entertainment,0711719825920,19.99,PlayStation 3,Teen,PlayStation 3,9/27/2011,Unknown,0.2200 lbs.,https://secure.coverart.bookstores.com/large/121/3-30121.jpg
 Saints Row IV,Square Enix,0816819010990,0.0,PlayStation 3,Mature,Playstation 3,1/1/1753,Unknown,Unknown,https://secure.coverart.bookstores.com/large/798/3-169798.jpg
 Call of Juarez: The Cartel - Limited Edition (PS3),Ubisoft,3307210244284,39.99,PlayStation 3,Suitable for 15 years and over,PlayStation 3,7/22/2011,5.3500 x 0.6300,0.2600 lbs.,https://secure.coverart.bookstores.com/large/118/3-59118.jpg
 Summer Athletics (PS2) by Eidos,Eidos,4017244020523,45.0,PlayStation 3,Everyone,PlayStation2,8/18/2042,5.3500 x 0.6300,0.0900 lbs.,https://secure.coverart.bookstores.com/large/775/3-92775.jpg
 Dead Island: Game of the Year Edition,Deep Silver,4020628510961,1.0,PlayStation 3,Everyone,PlayStation 3,1/17/2044,5.3500 x 0.6300,0.2200 lbs.,https://secure.coverart.bookstores.com/large/148/3-87148.jpg
 BlazBlue: Continuum Shift Extend - Limited Edition (PS Vita),pqube,4510772106375,49.99,PlayStation 3,Unknown,PlayStation Vita,2/22/2012,5.4300 x 1.2600,0.1200 lbs.,https://secure.coverart.bookstores.com/large/488/3-137488.jpg
 The Darkness II - Limited Edition (Sony PS3),Unknown,5026555408332,1.0,PlayStation 3,Mature,PlayStation 3,1/17/2044,5.3500 x 0.5500,0.3100 lbs.,https://secure.coverart.bookstores.com/large/766/3-86766.jpg
 Wanted: Weapons Of Fate - Special Pack - Includes Wanted DVD (PS3),Warner Bros. Interactive,5027669349221,29.99,PlayStation 3,Suitable for 18 years and over,PlayStation 3,4/3/2009,5.4000 x 1.2000,0.5000 lbs.,https://secure.coverart.bookstores.com/large/056/3-60056.jpg
 Prototype (PS3),Activision,5030917090943,19.99,PlayStation 3,Unknown,PlayStation 3,1/5/2011,5.3500 x 0.5500,0.2200 lbs.,https://secure.coverart.bookstores.com/large/834/3-59834.jpg
 Batman: Arkham City - Catwoman - Steel Book Edition (PS3),Warner Bros. Interactive,5051892072755,1.0,PlayStation 3,Unknown,PlayStation 3,10/21/2011,Unknown,Unknown,https://secure.coverart.bookstores.com/large/146/3-59146.jpg
 Batman: Arkham Asylum (PS3),Warner Bros. Interactive,5051892077569,20.42,PlayStation 3,Suitable for 12 years and over,PlayStation 3,11/25/2011,5.3500 x 0.5500,0.1800 lbs.,https://secure.coverart.bookstores.com/large/970/3-83970.jpg
 Resident Evil 5 - Limited Edition (PS3) by Capcom,Capcom,5055060925812,183.76,PlayStation 3,Unknown,PlayStation 3,8/18/2042,5.3500 x 0.6300,0.5300 lbs.,https://secure.coverart.bookstores.com/large/679/3-59679.jpg
 Phantom Brave (PS2) by Koei,Koei,5060073300853,230.84,PlayStation 3,Unknown,PlayStation2,8/18/2042,5.3500 x 0.5500,0.3500 lbs.,https://secure.coverart.bookstores.com/large/337/3-78337.jpg
 Zombie Virus (PS2) by Essential Games,Essential Games,5060125480397,1.0,PlayStation 3,Unknown,PlayStation2,8/18/2042,5.3500 x 0.6300,0.2600 lbs.,https://secure.coverart.bookstores.com/large/481/3-92481.jpg
 SBK X Special Edition (PS3),Milestone,8033102492482,29.99,PlayStation 3,Everyone,PlayStation 3,8/18/2042,5.9000 x 0.9000,1.3500 lbs.,https://secure.coverart.bookstores.com/large/756/3-59756.jpg
 Assassin's Creed II - Greatest Hits edition - Playstation 3,UBI Soft,0008888240129,19.99,PlayStation 3,Mature,PlayStation 3,11/17/2009,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/564/3-56564.jpg
 Assassin's Creed - Playstation 3,UBI Soft,0008888313397,13.72,PlayStation 3,Mature,PlayStation 3,11/13/2007,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/048/3-5048.jpg
 The DOG Island - PlayStation 2,Sony,0008888323594,19.99,PlayStation 3,Everyone,PlayStation2,10/14/2008,5.3000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/574/3-4574.jpg
 Tom Clancy's Ghost Recon Advanced Warfighter 2 - Playstation 3,UBI Soft,0008888343479,17.99,PlayStation 3,Teen,PlayStation 3,8/21/2007,5.3000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/020/3-5020.jpg
 Ruse - Playstation 3,UBI Soft,0008888344278,8.49,PlayStation 3,Teen,PlayStation 3,9/7/2010,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/268/3-5268.jpg
 Assassin's Creed II,UBI Soft,0008888345343,29.99,PlayStation 3,Mature,PlayStation 3,11/17/2009,5.3000 x 0.6000,0.1500 lbs.,https://secure.coverart.bookstores.com/large/273/3-5273.jpg
 Avatar - Playstation 3,UBI Soft,0008888345435,19.99,PlayStation 3,Teen,PlayStation 3,12/1/2009,5.3000 x 0.5000,0.2600 lbs.,https://secure.coverart.bookstores.com/large/313/3-5313.jpg
 CSI: Fatal Conspiracy - Playstation 3,UBI Soft,0008888346005,19.99,PlayStation 3,Mature,PlayStation 3,10/26/2010,Unknown,0.2500 lbs.,https://secure.coverart.bookstores.com/large/784/3-49784.jpg
 Tom Clancy's Ghost Recon: Future Soldier - Playstation 3,UBI Soft,0008888346074,11.49,PlayStation 3,Mature,PlayStation 3,5/22/2012,Unknown,0.5000 lbs.,https://secure.coverart.bookstores.com/large/539/3-30539.jpg
 Assassin's Creed: Brotherhood - Playstation 3,UBI Soft,0008888346258,19.99,PlayStation 3,Mature,PlayStation 3,11/16/2010,Unknown,0.1500 lbs.,https://secure.coverart.bookstores.com/large/064/3-30064.jpg
 Prince of Persia Trilogy HD,UBI Soft,0008888346791,39.99,PlayStation 3,Mature,PlayStation 3,4/19/2011,5.4000 x 0.6000,0.0500 lbs.,https://secure.coverart.bookstores.com/large/863/3-56863.jpg
 Assassin's Creed: Revelations,UBI Soft,0008888346845,19.99,PlayStation 3,Mature,PlayStation 3,11/15/2011,Unknown,0.4500 lbs.,https://secure.coverart.bookstores.com/large/999/3-146999.jpg
 Rocksmith - Playstation 3,UBI Soft,0008888346883,29.99,PlayStation 3,Teen,PlayStation 3,10/18/2011,5.6000 x 2.5000,0.3500 lbs.,https://secure.coverart.bookstores.com/large/545/3-58545.jpg
 Assassin's Creed Revelations,UBI Soft,0008888356844,59.99,PlayStation 3,Rating Pending,PlayStation 3,11/15/2011,5.3000 x 0.6000,0.3500 lbs.,https://secure.coverart.bookstores.com/large/194/3-65194.jpg
 SHAUN WHITE SNOWBOARD:TARG [PlayStation 3],Ubisoft Montreal,0008888394303,10.99,PlayStation 3,Everyone,PlayStation 3,4/24/2040,5.3000 x 0.6000,0.4500 lbs.,https://secure.coverart.bookstores.com/large/802/3-49802.jpg
 Sega Genesis Collection - PlayStation 2,"Sega Of America, Inc.",0010086631111,19.99,PlayStation 3,Teen,PlayStation2,11/7/2006,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/429/3-3429.jpg
 Yakuza 2 - PlayStation 2,"Sega of America, Inc.",0010086631210,19.99,PlayStation 3,Mature,PlayStation2,9/9/2008,5.3000 x 0.6000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/750/3-4750.jpg
 The Incredible Hulk,"Sega of America, Inc.",0010086690149,19.99,PlayStation 3,Teen,PlayStation 3,6/5/2008,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/124/3-5124.jpg
 Valkyria Chronicles - Playstation 3,"""Sega of America, Inc.""",0010086690200,29.99,PlayStation 3,Teen,PlayStation 3,11/4/2008,5.3000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/157/3-5157.jpg
 Sonic Unleashed - Playstation 3,"Sega of America, Inc.",0010086690217,14.99,PlayStation 3,Everyone 10+,PlayStation 3,12/9/2008,5.2800 x 0.5500,0.2200 lbs.,https://secure.coverart.bookstores.com/large/167/3-5167.jpg
 Sonic Ultimate Genesis Collection - Playstation 3,"Sega Of America, Inc.",0010086690279,19.99,PlayStation 3,Everyone 10+,PlayStation 3,2/10/2009,5.3000 x 0.6000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/222/3-5222.jpg
 Sonic & Sega All-Stars Racing,"Sega Of America, Inc.",0010086690361,29.99,PlayStation 3,Everyone,PlayStation 3,2/23/2010,5.3000 x 0.6000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/569/3-56569.jpg
 Iron Man 2 - Playstation 3,"Sega Of America, Inc.",0010086690378,29.99,PlayStation 3,Teen,PlayStation 3,5/4/2010,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/601/3-56601.jpg
 Yakuza 3 - Playstation 3,"""Sega of America, Inc.""",0010086690392,29.99,PlayStation 3,Mature,PlayStation 3,3/9/2010,5.3500 x 0.5500,0.2600 lbs.,https://secure.coverart.bookstores.com/large/334/3-5334.jpg
 Yakuza 4 - Playstation 3,"Sega of America, Inc.",0010086690439,34.99,PlayStation 3,Mature,PlayStation 3,3/15/2011,Unknown,0.4500 lbs.,https://secure.coverart.bookstores.com/large/774/3-49774.jpg
 Aliens Vs. Predator Hunter Edition - Playstation 3,"Sega Of America, Inc.",0010086690446,99.99,PlayStation 3,Mature,PlayStation 3,2/16/2010,Unknown,1.4500 lbs.,https://secure.coverart.bookstores.com/large/252/3-9252.jpg
 Sonic Generations - PlayStation 3,"Sega of America, Inc.",0010086690552,16.94,PlayStation 3,Everyone,PlayStation 3,11/1/2011,5.3000 x 0.2000,0.1000 lbs.,https://secure.coverart.bookstores.com/large/169/3-58169.jpg
 Breath of Fire 4,Capcom,0013388210527,269.91,PlayStation 3,Teen,PlayStation,1/17/2044,Unknown,0.2000 lbs.,https://secure.coverart.bookstores.com/large/106/3-3106.jpg
 Resident Evil 2,Capcom,0013388210558,1.0,PlayStation 3,Mature,PlayStation,5/6/2040,4.9000 x 0.4000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/981/3-2981.jpg
 Resident Evil 3: Nemesis,Capcom,0013388210565,1.0,PlayStation 3,Mature,PlayStation,1/17/2044,Unknown,0.2500 lbs.,https://secure.coverart.bookstores.com/large/842/3-21842.jpg
 Mega Man X7,Capcom,0013388260201,1.0,PlayStation 3,Everyone,PlayStation2,1/13/2041,Unknown,0.3000 lbs.,https://secure.coverart.bookstores.com/large/921/3-3921.jpg
 Mega Man X Command Mission - PlayStation 2,Capcom,0013388260348,19.99,PlayStation 3,Everyone,PlayStation2,8/7/2006,Unknown,0.3000 lbs.,https://secure.coverart.bookstores.com/large/090/3-4090.jpg
 Mega Man X8 - PlayStation 2,Capcom,0013388260379,19.99,PlayStation 3,Everyone,PlayStation2,8/7/2006,5.3000 x 0.6000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/091/3-4091.jpg
 Killer 7 - PlayStation 2,Capcom,0013388260393,19.99,PlayStation 3,Mature,PlayStation2,8/18/2005,5.3000 x 0.6000,0.5000 lbs.,https://secure.coverart.bookstores.com/large/366/3-3366.jpg
 God Hand - PlayStation 2,Capcom,0013388260669,19.99,PlayStation 3,Mature,PlayStation2,10/10/2006,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/457/3-4457.jpg
 Resident Evil 5 - Playstation 3,Capcom,0013388340088,14.99,PlayStation 3,Mature,PlayStation 3,3/13/2009,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/508/3-56508.jpg
 Resident Evil 5 Collector's Edition - Playstation 3,Capcom,0013388340125,1.0,PlayStation 3,Mature,PlayStation 3,3/13/2009,5.6000 x 3.5000,0.9500 lbs.,https://secure.coverart.bookstores.com/large/149/3-9149.jpg
 Dead Rising 2 - Playstation 3,Capcom,0013388340194,1.0,PlayStation 3,Mature,PlayStation 3,9/28/2010,5.3000 x 0.6000,0.0200 lbs.,https://secure.coverart.bookstores.com/large/094/3-30094.jpg
 Super Street Fighter IV - Playstation 3,Capcom,0013388340231,19.99,PlayStation 3,Teen,PlayStation 3,4/27/2010,5.3000 x 0.6000,0.0500 lbs.,https://secure.coverart.bookstores.com/large/328/3-5328.jpg
 Marvel vs. Capcom 3: Fate of Two Worlds - Playstation 3,Capcom,0013388340262,19.99,PlayStation 3,Teen,PlayStation 3,2/15/2011,Unknown,0.3000 lbs.,https://secure.coverart.bookstores.com/large/343/3-30343.jpg
 Sengoku Basara Samurai Heroes - Playstation 3,Capcom,0013388340323,39.99,PlayStation 3,Teen,PlayStation 3,10/12/2010,Unknown,0.2500 lbs.,https://secure.coverart.bookstores.com/large/128/3-30128.jpg
 Resident Evil 5: Gold Edition - Playstation 3,Capcom,0013388340330,31.65,PlayStation 3,Mature,PlayStation 3,3/9/2010,5.3000 x 0.6000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/151/3-30151.jpg
 Resident Evil: Operation Raccoon City - Playstation 3,Capcom,0013388340408,29.99,PlayStation 3,Mature,PlayStation 3,3/20/2012,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/115/3-57115.jpg
 Street Fighter X Tekken,Capcom,0013388340453,59.99,PlayStation 3,Teen,PlayStation 3,3/6/2012,5.3000 x 0.3000,0.4300 lbs.,https://secure.coverart.bookstores.com/large/602/3-58602.jpg
 Ultimate Marvel Vs. Capcom 3 - Playstation 3,Capcom,0013388340521,29.99,PlayStation 3,Teen,PlayStation 3,11/15/2011,5.3000 x 0.6000,0.4800 lbs.,https://secure.coverart.bookstores.com/large/453/3-58453.jpg
 The Orange Box - Playstation 3,Electronic Arts,0014633098518,19.99,PlayStation 3,Mature,PlayStation 3,12/12/2007,5.3000 x 0.6000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/050/3-5050.jpg
 Alice: Madness Returns - Playstation 3,Electronic Arts,0014633098587,19.99,PlayStation 3,Mature,PlayStation 3,6/14/2011,5.3000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/808/3-56808.jpg
 Kingdoms of Amalur: Reckoning - Playstation 3,Electronic Arts,0014633098921,19.99,PlayStation 3,Mature,PlayStation 3,2/7/2012,Unknown,0.1500 lbs.,https://secure.coverart.bookstores.com/large/915/3-49915.jpg
 Shadows of the Damned - Playstation 3,Electronic Arts,0014633098938,19.99,PlayStation 3,Mature,PlayStation 3,6/21/2011,Unknown,0.2000 lbs.,https://secure.coverart.bookstores.com/large/827/3-49827.jpg
 Rango - Playstation 3,Electronic Arts,0014633098969,29.99,PlayStation 3,Everyone 10+,PlayStation 3,3/1/2011,5.3000 x 0.5000,0.1000 lbs.,https://secure.coverart.bookstores.com/large/063/3-57063.jpg
 Medal of Honor: Airborne - Playstation 3,Electronic Arts,0014633143249,29.99,PlayStation 3,Teen,PlayStation 3,11/19/2007,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/051/3-5051.jpg
 Harry Potter and the Sorcerer's Stone - PlayStation 2,SPIG,0014633146509,19.99,PlayStation 3,Everyone,PlayStation2,12/9/2003,Unknown,0.3000 lbs.,https://secure.coverart.bookstores.com/large/981/3-3981.jpg
 Need for Speed: Most Wanted (Greatest Hits),Electronic Arts,0014633148213,19.99,PlayStation 3,Teen,PlayStation2,11/16/2005,5.3000 x 0.6000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/256/3-4256.jpg
 The Sims 2 - PlayStation 2,Electronic Arts,0014633151268,19.99,PlayStation 3,Teen,PlayStation2,6/15/2006,5.3500 x 0.6300,0.2600 lbs.,https://secure.coverart.bookstores.com/large/345/3-4345.jpg
 Need for Speed: Carbon - Playstation 3,Electronic Arts,0014633152753,29.99,PlayStation 3,Everyone 10+,PlayStation 3,11/21/2006,5.3000 x 0.6000,0.4300 lbs.,https://secure.coverart.bookstores.com/large/012/3-5012.jpg
 MVP 07 NCAA Baseball - PlayStation 2,Electronic Arts,0014633153149,9.99,PlayStation 3,Everyone,PlayStation2,2/6/2007,5.3000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/564/3-4564.jpg
 Def Jam Icon - Playstation 3,Electronic Arts,0014633153279,29.99,PlayStation 3,Mature,PlayStation 3,3/6/2007,5.3000 x 0.4000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/024/3-5024.jpg
 Skate 2 - Playstation 3,Electronic Arts,0014633154528,19.99,PlayStation 3,Teen,PlayStation 3,1/21/2009,5.3000 x 0.6000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/221/3-5221.jpg
 Nascar 09 - Playstation 3,Electronic Arts,0014633154603,29.99,PlayStation 3,Everyone,PlayStation 3,6/10/2008,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/141/3-5141.jpg
 Burnout Paradise - Playstation 3,Electronic Arts,0014633156331,19.99,PlayStation 3,Everyone 10+,PlayStation 3,1/22/2008,5.1000 x 0.4000,0.1000 lbs.,https://secure.coverart.bookstores.com/large/030/3-5030.jpg
 The Godfather The Don's Edition -PLAYSTATION 3,Electronic Arts,0014633156348,29.99,PlayStation 3,Mature,PlayStation 3,3/20/2007,5.3000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/026/3-5026.jpg
 NCAA Basketball 10 - Playstation 3,Electronic Arts,0014633156874,39.99,PlayStation 3,Everyone,PlayStation 3,11/17/2009,5.3500 x 0.5500,0.2600 lbs.,https://secure.coverart.bookstores.com/large/982/3-4982.jpg
 FIFA Soccer 10 - Playstation 3,Electronic Arts,0014633156904,12.88,PlayStation 3,Everyone,PlayStation 3,10/20/2009,7.1000 x 0.7000,0.0200 lbs.,https://secure.coverart.bookstores.com/large/979/3-4979.jpg
 FIFA Soccer 10 - PlayStation 2,Electronic Arts,0014633157123,29.99,PlayStation 3,Everyone,PlayStation2,10/20/2009,5.3000 x 0.6000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/876/3-4876.jpg
 Dead Space 2,Electronic Arts,0014633158885,19.99,PlayStation 3,Mature,PlayStation 3,1/25/2011,Unknown,0.4500 lbs.,https://secure.coverart.bookstores.com/large/105/3-30105.jpg
 Dragon Age: Origins (PS3) [UK IMPORT],Unknown,0014633159790,1.0,PlayStation 3,Everyone,PlayStation 3,4/18/2040,5.3500 x 0.6300,0.2200 lbs.,https://secure.coverart.bookstores.com/large/965/3-4965.jpg
 The Simpsons Game,Electronic Arts,0014633167719,19.99,PlayStation 3,Teen,PlayStation 3,10/30/2007,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/531/3-5531.jpg
" Dead Space 2, Collector's Edition",Electronic Arts,0014633169454,29.99,PlayStation 3,Mature,PlayStation 3,1/25/2011,Unknown,0.9500 lbs.,https://secure.coverart.bookstores.com/large/276/3-30276.jpg
