Name,Studio,UPC,Price,Category,ESRB,Platform,Released_on,Dimensions,Weight,Cover_image
 Final Fantasy VII,SquareSoft,0711719416326,19.95,PC,Teen,Windows XP,4/10/2038,Unknown,0.6900 lbs.,https://secure.coverart.bookstores.com/large/807/3-21807.jpg
 Kinect Adventures!,Microsoft,0717565888225,39.99,PC,Everyone,Windows 2000,4/9/2040,5.3000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/842/3-56842.jpg
 Klonoa 2: Lunatea's Veil,Namco,0722674021081,1.0,PC,Everyone,Windows XP,4/10/2038,Unknown,0.5100 lbs.,https://secure.coverart.bookstores.com/large/552/3-3552.jpg
 Rhapsody: A Musical Adventure,Atlus,0730865520183,1.0,PC,Everyone,Windows XP,5/23/2038,Unknown,0.3000 lbs.,https://secure.coverart.bookstores.com/large/035/3-3035.jpg
 X-Plane v 9.0,Valusoft,0740569000447,29.99,PC,Everyone,Windows XP,4/1/2008,5.4000 x 1.2000,0.8600 lbs.,https://secure.coverart.bookstores.com/large/600/3-7600.jpg
 Rollercoaster Tycoon 3 Platinum,Atari,0742725275133,19.99,PC,Everyone,Windows XP,11/7/2006,5.4000 x 1.1000,0.4600 lbs.,https://secure.coverart.bookstores.com/large/527/3-7527.jpg
 Company of Heroes: Gold Edition,THQ,0752919493359,29.99,PC,Mature,Windows,3/5/2008,5.5000 x 1.3000,0.4500 lbs.,https://secure.coverart.bookstores.com/large/304/3-7304.jpg
 18 Wheels of Steel : American Long Haul,Valusoft,0755142715564,19.99,PC,Everyone,Windows,12/17/2007,Unknown,0.5500 lbs.,https://secure.coverart.bookstores.com/large/820/3-10820.jpg
" Hitman Trilogy (Includes Silent Assassins, Blood Money and Contracts)",Eidos Interactive,0788687100731,19.99,PC,Mature,Windows XP,6/19/2007,5.3000 x 1.2000,0.5000 lbs.,https://secure.coverart.bookstores.com/large/921/3-10921.jpg
" Age of Empires II, Gold Edition",Microsoft,0805529051041,19.99,PC,Teen,Windows 95,8/30/2001,5.3000 x 1.3000,0.9000 lbs.,https://secure.coverart.bookstores.com/large/572/3-7572.jpg
 Backyard Baseball 2003,Atari,0825247028804,19.99,PC,Everyone,Windows,6/5/2002,Unknown,0.2000 lbs.,https://secure.coverart.bookstores.com/large/546/3-12546.jpg
 Crazy Machines: The Wacky Contraptions Game,Viva Media,0838639002283,9.99,PC,Everyone,Windows XP,10/1/2005,5.3000 x 1.2000,0.4700 lbs.,https://secure.coverart.bookstores.com/large/769/3-10769.jpg
 Crazy Machines 2,Viva Media,0838639004089,14.99,PC,Everyone,Windows XP,4/15/2008,5.5000 x 1.2000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/143/3-11143.jpg
 Tropico 4,Kalypso Media,0853490002258,19.99,PC,Teen,Windows XP,8/23/2011,5.3000 x 0.6000,0.5000 lbs.,https://secure.coverart.bookstores.com/large/541/3-58541.jpg
 Arma 2 - Operation Arrowhead,Meridian4,0877949100029,39.99,PC,Mature,Windows XP,6/29/2010,Unknown,0.4500 lbs.,https://secure.coverart.bookstores.com/large/898/3-10898.jpg
 Dungeon Siege 2,Microsoft,0882224008440,29.99,PC,Mature,Windows XP,8/16/2005,5.4000 x 1.3000,0.8800 lbs.,https://secure.coverart.bookstores.com/large/733/3-7733.jpg
 Age of Empires III,Microsoft,0882224043304,49.95,PC,Teen,Windows XP,10/5/2037,Unknown,0.5500 lbs.,https://secure.coverart.bookstores.com/large/405/3-11405.jpg
 Age of Empires III: The WarChiefs Expansion Pack,Microsoft,0882224259880,19.95,PC,Teen,Windows XP,10/17/2006,Unknown,0.6500 lbs.,https://secure.coverart.bookstores.com/large/792/3-7792.jpg
 Age of Empires III (Gold Edition),Microsoft Corp.,0882224531023,49.95,PC,Teen,Windows XP,10/5/2037,Unknown,0.9200 lbs.,https://secure.coverart.bookstores.com/large/995/3-10995.jpg
 Age of Empires III: Complete Collection,Microsoft Corp.,0882224925723,50.0,PC,Teen,Windows XP,10/5/2037,5.3500 x 1.1000,0.5900 lbs.,https://secure.coverart.bookstores.com/large/155/3-62155.jpg
 Blizzard Starcraft with Brood Wars Expansion,Blizzard Entertainment,3348542129108,39.95,PC,Teen,Windows 95,10/5/2037,Unknown,0.2600 lbs.,https://secure.coverart.bookstores.com/large/368/3-11368.jpg
 Singles Triple Trouble 2,Deep Silver,4020628996253,29.95,PC,Mature,Windows XP Home Edition,10/5/2037,Unknown,0.5500 lbs.,https://secure.coverart.bookstores.com/large/683/3-13683.jpg
" Activision Inc. Skylanders: Spyro's Adventure - Triple Character Pack - Drobot, Stump Smash And Flameslinger - Wii/ps3/xbox 360/pc",Activision Inc.,5030917099120,1.0,PC,Unknown,Windows 7,12/4/2037,Unknown,1 lbs.,https://secure.coverart.bookstores.com/large/521/3-59521.jpg
